year,track,problem,instance,solver1,solver2,score1,score2
2021,free,ATSP,instance10_0p25,gurobi,coin_or_cbc,0.9961754578523314,0.003824542147668608
2021,free,ATSP,instance16_0p35,gurobi,coin_or_cbc,0.0,1.0
2021,free,ATSP,instance19_0p35,gurobi,coin_or_cbc,1.0,0.0
2021,free,ATSP,instance5_0p15,gurobi,coin_or_cbc,0.9255476414460422,0.0744523585539578
2021,free,ATSP,instance9_0p25,gurobi,coin_or_cbc,1.0,0.0
2021,free,MZNC_connect,connect__0018,gurobi,coin_or_cbc,1.0,0.0
2021,free,MZNC_connect,connect__0041_02,gurobi,coin_or_cbc,1.0,0.0
2021,free,MZNC_connect,connect__0061,gurobi,coin_or_cbc,1.0,0.0
2021,free,MZNC_connect,connect__0083_02,gurobi,coin_or_cbc,1.0,0.0
2021,free,MZNC_connect,connect__0086_02,gurobi,coin_or_cbc,0.7298969072164948,0.2701030927835052
2021,free,carpet_cutting,mzn_rnd_test_dot_01,gurobi,coin_or_cbc,0.9353913963483429,0.06460860365165703
2021,free,carpet_cutting,mzn_rnd_test_dot_03,gurobi,coin_or_cbc,1.0,0.0
2021,free,carpet_cutting,mzn_rnd_test_dot_09,gurobi,coin_or_cbc,1.0,0.0
2021,free,carpet_cutting,mzn_rnd_test_dot_12,gurobi,coin_or_cbc,0.9753944458981422,0.024605554101857826
2021,free,carpet_cutting,mzn_rnd_test_dot_19,gurobi,coin_or_cbc,1.0,0.0
2021,free,community_detection_rnd,rnd_n100_e1000_s50_d30_c6_p70,gurobi,coin_or_cbc,1.0,0.0
2021,free,community_detection_rnd,rnd_n100_e5000_s500_d300_c4_p50,gurobi,coin_or_cbc,0.533659151820905,0.4663408481790951
2021,free,community_detection_rnd,rnd_n100_e50_s10_d5_c10_p30,gurobi,coin_or_cbc,1.0,0.0
2021,free,community_detection_rnd,rnd_n100_e50_s50_d30_c9_p30,gurobi,coin_or_cbc,1.0,0.0
2021,free,community_detection_rnd,rnd_n50_e2500_s10_d5_c4_p90,gurobi,coin_or_cbc,1.0,0.0
2021,free,flowshop_workers,5stat_ex3,gurobi,coin_or_cbc,1.0,0.0
2021,free,flowshop_workers,5stat_ex6,gurobi,coin_or_cbc,0.9968789824384692,0.0031210175615308186
2021,free,flowshop_workers,8s_ex3,gurobi,coin_or_cbc,1.0,0.0
2021,free,flowshop_workers,ex4,gurobi,coin_or_cbc,1.0,0.0
2021,free,flowshop_workers,real_ex2,gurobi,coin_or_cbc,1.0,0.0
2021,free,java_routing,trip_6_2,gurobi,coin_or_cbc,1.0,0.0
2021,free,java_routing,trip_7_4,gurobi,coin_or_cbc,1.0,0.0
2021,free,java_routing,trip_7_5,gurobi,coin_or_cbc,1.0,0.0
2021,free,java_routing,trip_8_2,gurobi,coin_or_cbc,1.0,0.0
2021,free,java_routing,trip_8_3,gurobi,coin_or_cbc,1.0,0.0
2021,free,mapping,mesh2x2_2,gurobi,coin_or_cbc,0.8109422492401216,0.1890577507598784
2021,free,mapping,mesh3x3_4,gurobi,coin_or_cbc,0.9751756798044607,0.02482432019553926
2021,free,mapping,mesh4x4_2,gurobi,coin_or_cbc,1.0,0.0
2021,free,mapping,mesh_star_mpeg,gurobi,coin_or_cbc,1.0,0.0
2021,free,mapping,ring_3,gurobi,coin_or_cbc,1.0,0.0
2021,free,monomatch,data_n_3_percentage_0_dot_97,gurobi,coin_or_cbc,1.0,0.0
2021,free,monomatch,data_n_4_percentage_0_dot_75,gurobi,coin_or_cbc,1.0,0.0
2021,free,monomatch,data_n_4_percentage_0_dot_97,gurobi,coin_or_cbc,0.0,1.0
2021,free,monomatch,data_n_5_percentage_0_dot_5,gurobi,coin_or_cbc,1.0,0.0
2021,free,monomatch,data_n_6_percentage_0_dot_5,gurobi,coin_or_cbc,1.0,0.0
2021,free,neighbours,neightbours_new_14,gurobi,coin_or_cbc,1.0,0.0
2021,free,neighbours,neightbours_new_17,gurobi,coin_or_cbc,1.0,0.0
2021,free,neighbours,neightbours_new_19,gurobi,coin_or_cbc,0.912977292908791,0.08702270709120893
2021,free,neighbours,neightbours_new_20,gurobi,coin_or_cbc,0.896967928624392,0.10303207137560798
2021,free,neighbours,neightbours_new_4,gurobi,coin_or_cbc,1.0,0.0
2021,free,opt_cryptoanalysis,r1,gurobi,coin_or_cbc,0.5392441860465117,0.4607558139534884
2021,free,opt_cryptoanalysis,r13,gurobi,coin_or_cbc,0.0,1.0
2021,free,opt_cryptoanalysis,r2,gurobi,coin_or_cbc,0.7010980073200488,0.2989019926799512
2021,free,opt_cryptoanalysis,r3,gurobi,coin_or_cbc,0.8241645828597409,0.17583541714025913
2021,free,opt_cryptoanalysis,r4,gurobi,coin_or_cbc,0.9141326123426227,0.0858673876573774
2021,free,p1f_pjs,12,gurobi,coin_or_cbc,0.0,1.0
2021,free,p1f_pjs,14,gurobi,coin_or_cbc,0.0,1.0
2021,free,p1f_pjs,17,gurobi,coin_or_cbc,0.0,1.0
2021,free,peacable_queens,11,gurobi,coin_or_cbc,0.0,1.0
2021,free,peacable_queens,25,gurobi,coin_or_cbc,0.0,1.0
2021,free,peacable_queens,40,gurobi,coin_or_cbc,0.0,1.0
2021,free,peacable_queens,50,gurobi,coin_or_cbc,1.0,0.0
2021,free,peacable_queens,8,gurobi,coin_or_cbc,1.0,0.0
2021,free,pentominoes_zayenz,size_10_tiles_10_seed_17_strategy_target,gurobi,coin_or_cbc,0.0,1.0
2021,free,pentominoes_zayenz,size_15_tiles_15_seed_17_strategy_source,gurobi,coin_or_cbc,0.0,1.0
2021,free,pentominoes_zayenz,size_20_tiles_10_seed_42_strategy_far,gurobi,coin_or_cbc,0.0,1.0
2021,free,pentominoes_zayenz,size_20_tiles_15_seed_4711_strategy_source,gurobi,coin_or_cbc,0.0,1.0
2021,free,pentominoes_zayenz,size_5_tiles_20_seed_17_strategy_close,gurobi,coin_or_cbc,0.0,1.0
2021,free,perfect_square,102,gurobi,coin_or_cbc,0.0,1.0
2021,free,perfect_square,195,gurobi,coin_or_cbc,0.0,1.0
2021,free,perfect_square,205,gurobi,coin_or_cbc,0.0,1.0
2021,free,perfect_square,57,gurobi,coin_or_cbc,0.0,1.0
2021,free,perfect_square,92,gurobi,coin_or_cbc,0.0,1.0
2021,free,physician_scheduling,instance03_0_dot_34,gurobi,coin_or_cbc,0.8656681760130037,0.13433182398699642
2021,free,physician_scheduling,instance10_duplicated_0_dot_23,gurobi,coin_or_cbc,0.8652865931061421,0.13471340689385802
2021,free,physician_scheduling,instance13_duplicated_0_dot_56,gurobi,coin_or_cbc,0.921533241897062,0.07846675810293799
2021,free,physician_scheduling,instance17_oneweek_real,gurobi,coin_or_cbc,1.0,0.0
2021,free,physician_scheduling,instance18_real,gurobi,coin_or_cbc,1.0,0.0
2021,free,seat_moving,sm_10_11_00,gurobi,coin_or_cbc,1.0,0.0
2021,free,seat_moving,sm_10_13_00,gurobi,coin_or_cbc,1.0,0.0
2021,free,seat_moving,sm_20_13_00,gurobi,coin_or_cbc,0.0,1.0
2021,free,seat_moving,sm_20_16_00,gurobi,coin_or_cbc,1.0,0.0
2021,free,seat_moving,sm_20_20_02,gurobi,coin_or_cbc,1.0,0.0
2021,free,steiner_systems,steiner_t3_k3_N11,gurobi,coin_or_cbc,0.0,1.0
2021,free,steiner_systems,steiner_t3_k4_N8,gurobi,coin_or_cbc,1.0,0.0
2021,free,steiner_systems,steiner_t4_k4_N10,gurobi,coin_or_cbc,0.0,1.0
2021,free,steiner_systems,steiner_t6_k6_N7,gurobi,coin_or_cbc,0.5459610027855153,0.4540389972144847
2021,free,vrp_submission,A_1v_7l_w_reload,gurobi,coin_or_cbc,1.0,0.0
2021,free,vrp_submission,A_4v_22l,gurobi,coin_or_cbc,1.0,0.0
2021,free,vrp_submission,D_3v_25l_w_reload,gurobi,coin_or_cbc,0.0,1.0
2021,free,vrp_submission,toy_D_2v_4l_w_reload,gurobi,coin_or_cbc,0.9188916325065989,0.08110836749340114
2021,free,wmsmc_int,batch_0_case_115_instance_0_small_subset_elements_3_sumreqs_1295_candidates_41,gurobi,coin_or_cbc,1.0,0.0
2021,free,wmsmc_int,batch_0_case_115_instance_1_base_full_elements_3_sumreqs_702_candidates_86,gurobi,coin_or_cbc,1.0,0.0
2021,free,wmsmc_int,batch_0_case_253_instance_6_small_cost_elements_4_sumreqs_472_candidates_16,gurobi,coin_or_cbc,0.426550598476605,0.573449401523395
2021,free,wmsmc_int,batch_1_case_426_instance_3_base_full_elements_3_sumreqs_117_candidates_59,gurobi,coin_or_cbc,0.5,0.5
2021,free,wmsmc_int,batch_2_case_710_instance_4_base_subset_elements_6_sumreqs_161_candidates_70,gurobi,coin_or_cbc,0.49943117178612056,0.5005688282138794
2021,free,yumi_dynamic,p_10_SSSSSS_SSSS_yumi_grid_setup_3_3_zones,gurobi,coin_or_cbc,0.0,1.0
2021,free,yumi_dynamic,p_4_GG_GG_yumi_grid_setup_3_4_zones,gurobi,coin_or_cbc,0.0,1.0
2021,free,yumi_dynamic,p_4_GG_GG_yumi_grid_setup_7_7_zones,gurobi,coin_or_cbc,0.0,1.0
2021,free,yumi_dynamic,p_4_SG_SG_yumi_grid_setup_3_4_zones,gurobi,coin_or_cbc,0.0,1.0
2021,free,yumi_dynamic,p_7_SGSG_GSG_yumi_grid_setup_5_5_zones,gurobi,coin_or_cbc,0.0,1.0
2021,free,ATSP,instance10_0p25,gurobi,flatzingo,0.7963274279063752,0.20367257209362472
2021,free,ATSP,instance16_0p35,gurobi,flatzingo,0.0,1.0
2021,free,ATSP,instance19_0p35,gurobi,flatzingo,1.0,0.0
2021,free,ATSP,instance5_0p15,gurobi,flatzingo,0.5962099125364432,0.40379008746355693
2021,free,ATSP,instance9_0p25,gurobi,flatzingo,1.0,0.0
2021,free,MZNC_connect,connect__0018,gurobi,flatzingo,1.0,0.0
2021,free,MZNC_connect,connect__0041_02,gurobi,flatzingo,1.0,0.0
2021,free,MZNC_connect,connect__0061,gurobi,flatzingo,1.0,0.0
2021,free,MZNC_connect,connect__0083_02,gurobi,flatzingo,1.0,0.0
2021,free,MZNC_connect,connect__0086_02,gurobi,flatzingo,1.0,0.0
2021,free,carpet_cutting,mzn_rnd_test_dot_01,gurobi,flatzingo,1.0,0.0
2021,free,carpet_cutting,mzn_rnd_test_dot_03,gurobi,flatzingo,1.0,0.0
2021,free,carpet_cutting,mzn_rnd_test_dot_09,gurobi,flatzingo,0.0,1.0
2021,free,carpet_cutting,mzn_rnd_test_dot_12,gurobi,flatzingo,1.0,0.0
2021,free,carpet_cutting,mzn_rnd_test_dot_19,gurobi,flatzingo,0.0,1.0
2021,free,community_detection_rnd,rnd_n100_e1000_s50_d30_c6_p70,gurobi,flatzingo,1.0,0.0
2021,free,community_detection_rnd,rnd_n100_e5000_s500_d300_c4_p50,gurobi,flatzingo,0.8134813039914244,0.1865186960085756
2021,free,community_detection_rnd,rnd_n100_e50_s10_d5_c10_p30,gurobi,flatzingo,1.0,0.0
2021,free,community_detection_rnd,rnd_n100_e50_s50_d30_c9_p30,gurobi,flatzingo,1.0,0.0
2021,free,community_detection_rnd,rnd_n50_e2500_s10_d5_c4_p90,gurobi,flatzingo,1.0,0.0
