year,track,portSize,port,portScore,vbsScore,ratio
2013,free,1,"('gecode',)",11.46050824304518,81.53949175695483,0.1405516271453539
2013,free,1,"('izplus',)",12.588260036040523,80.41173996395946,0.1565475394722534
2013,free,1,"('or_tools',)",15.792371334635185,77.20762866536484,0.2045441831024607
2013,free,1,"('choco',)",5.969193526269774,87.03080647373024,0.0685871333166554
2013,free,1,"('jacop',)",5.6105287884602015,87.3894712115398,0.0642014273650774
2013,free,1,"('mistral',)",6.034350269712201,86.96564973028782,0.0693877443384476
2013,free,1,"('opturion_cpx',)",19.31832563440526,73.68167436559473,0.2621863007421808
2013,free,1,"('fzn2smt',)",6.776395469350705,86.2236045306493,0.0785909555305351
2013,free,1,"('picat',)",2.906598208442172,90.09340179155782,0.0322620541642654
2013,free,2,"('gecode', 'izplus')",21.886243857359112,71.11375614264087,0.3077638567348265
2013,free,2,"('gecode', 'or_tools')",18.337257509263505,74.6627424907365,0.2456011780110894
2013,free,2,"('gecode', 'choco')",12.704912686951143,80.29508731304885,0.1582277709895017
2013,free,2,"('gecode', 'jacop')",13.802003734586924,79.19799626541307,0.1742721329505966
2013,free,2,"('gecode', 'mistral')",15.950691139491846,77.04930886050816,0.2070192630587945
2013,free,2,"('gecode', 'opturion_cpx')",26.8785875694081,66.12141243059189,0.4065035301177624
2013,free,2,"('gecode', 'fzn2smt')",15.901632079079503,77.0983679209205,0.2062512152707272
2013,free,2,"('gecode', 'picat')",13.388966271220424,79.61103372877956,0.1681797816724025
2013,free,2,"('izplus', 'or_tools')",25.631000811992717,67.36899918800728,0.3804569033371572
2013,free,2,"('izplus', 'choco')",17.154175400022723,75.8458245999773,0.2261716513795784
2013,free,2,"('izplus', 'jacop')",16.865259820412184,76.13474017958782,0.2215185837717465
2013,free,2,"('izplus', 'mistral')",15.961244850326237,77.03875514967379,0.2071846153188239
2013,free,2,"('izplus', 'opturion_cpx')",29.234802639172752,63.76519736082723,0.4584758433937275
2013,free,2,"('izplus', 'fzn2smt')",17.71335525526287,75.28664474473713,0.2352788507884874
2013,free,2,"('izplus', 'picat')",14.929150516029203,78.07084948397079,0.1912256702047849
2013,free,2,"('or_tools', 'choco')",18.026645254129733,74.9733547458703,0.2404406914327477
2013,free,2,"('or_tools', 'jacop')",17.873432443361075,75.12656755663895,0.2379109418234241
2013,free,2,"('or_tools', 'mistral')",19.44017455152301,73.559825448477,0.2642770620104225
2013,free,2,"('or_tools', 'opturion_cpx')",30.437599230905573,62.56240076909442,0.4865158442887253
2013,free,2,"('or_tools', 'fzn2smt')",20.13625062550688,72.86374937449315,0.2763548513268769
2013,free,2,"('or_tools', 'picat')",17.59061438112352,75.40938561887648,0.2332682362647473
2013,free,2,"('choco', 'jacop')",8.440088119311124,84.55991188068889,0.0998119313466149
2013,free,2,"('choco', 'mistral')",10.75221572848435,82.24778427151564,0.1307295488105701
2013,free,2,"('choco', 'opturion_cpx')",23.66066874500101,69.33933125499897,0.341230126059158
2013,free,2,"('choco', 'fzn2smt')",11.241506122669396,81.75849387733062,0.1374964922853888
2013,free,2,"('choco', 'picat')",8.010623221675395,84.98937677832463,0.094254405966163
2013,free,2,"('jacop', 'mistral')",10.498881357985418,82.5011186420146,0.1272574424541044
2013,free,2,"('jacop', 'opturion_cpx')",23.413751786257187,69.5862482137428,0.3364709606751457
2013,free,2,"('jacop', 'fzn2smt')",11.05862838413156,81.94137161586846,0.1349578139352256
2013,free,2,"('jacop', 'picat')",7.687793539718176,85.31220646028183,0.0901136409277765
2013,free,2,"('mistral', 'opturion_cpx')",22.74870501095506,70.25129498904494,0.3238190130801506
2013,free,2,"('mistral', 'fzn2smt')",11.588226749252415,81.4117732507476,0.1423409205639186
2013,free,2,"('mistral', 'picat')",8.338624331662004,84.66137566833801,0.0984938440444042
2013,free,2,"('opturion_cpx', 'fzn2smt')",21.55231857028515,71.44768142971483,0.3016517560683448
2013,free,2,"('opturion_cpx', 'picat')",20.19439854477164,72.80560145522834,0.2773742423814758
2013,free,2,"('fzn2smt', 'picat')",7.805815018917989,85.19418498108202,0.0916238006226754
2013,free,3,"('gecode', 'izplus', 'or_tools')",27.843160477075777,65.1568395229242,0.4273252152950065
2013,free,3,"('gecode', 'izplus', 'choco')",22.768718800565956,70.23128119943404,0.32419626143385
2013,free,3,"('gecode', 'izplus', 'jacop')",23.850771256469503,69.14922874353047,0.3449173864965335
2013,free,3,"('gecode', 'izplus', 'mistral')",24.732343649605586,68.2676563503944,0.3622849380190082
2013,free,3,"('gecode', 'izplus', 'opturion_cpx')",35.93622489941079,57.06377510058919,0.6297554768513685
2013,free,3,"('gecode', 'izplus', 'fzn2smt')",25.71993512338353,67.28006487661646,0.3822816635291716
2013,free,3,"('gecode', 'izplus', 'picat')",23.507540663467854,69.49245933653212,0.3382746975413195
2013,free,3,"('gecode', 'or_tools', 'choco')",19.227894087928668,73.77210591207134,0.2606390837052464
2013,free,3,"('gecode', 'or_tools', 'jacop')",20.25581247768324,72.74418752231678,0.2784526594852554
2013,free,3,"('gecode', 'or_tools', 'mistral')",21.896531331360794,71.10346866863921,0.307953068132363
2013,free,3,"('gecode', 'or_tools', 'opturion_cpx')",32.72480336457426,60.27519663542574,0.5429232120553681
2013,free,3,"('gecode', 'or_tools', 'fzn2smt')",22.192567808133976,70.80743219186603,0.3134214463249994
2013,free,3,"('gecode', 'or_tools', 'picat')",20.135500555751836,72.86449944424815,0.2763417124845329
2013,free,3,"('gecode', 'choco', 'jacop')",14.629318394383375,78.37068160561661,0.1866682552029116
