year,track,problem,instance,solver1,solver2,score1,score2
2016,free,carpet_cutting,mzn_rnd_test_dot_02,iZplus,HaifaCSP,0.9979118448359795,0.0020881551640205315
2016,free,carpet_cutting,mzn_rnd_test_dot_06,iZplus,HaifaCSP,1.0,0.0
2016,free,carpet_cutting,mzn_rnd_test_dot_11,iZplus,HaifaCSP,0.997836278398846,0.002163721601153985
2016,free,carpet_cutting,mzn_rnd_test_dot_13,iZplus,HaifaCSP,1.0,0.0
2016,free,carpet_cutting,mzn_rnd_test_dot_20,iZplus,HaifaCSP,1.0,0.0
2016,free,celar,CELAR6_SUB0,iZplus,HaifaCSP,0.46736347008100343,0.5326365299189967
2016,free,celar,CELAR6_SUB4,iZplus,HaifaCSP,1.0,0.0
2016,free,celar,CELAR7_SUB4,iZplus,HaifaCSP,1.0,0.0
2016,free,celar,graph05,iZplus,HaifaCSP,0.0,1.0
2016,free,celar,scen07,iZplus,HaifaCSP,0.0,1.0
2016,free,cryptanalysis,kb128_n5_obj11,iZplus,HaifaCSP,0.0,1.0
2016,free,cryptanalysis,kb128_n5_obj14,iZplus,HaifaCSP,0.0,1.0
2016,free,cryptanalysis,kb128_n5_obj16,iZplus,HaifaCSP,0.0,1.0
2016,free,cryptanalysis,kb128_n5_obj17,iZplus,HaifaCSP,0.0,1.0
2016,free,cryptanalysis,kb192_n7_obj10,iZplus,HaifaCSP,0.0,1.0
2016,free,depot_placement,att48_6,iZplus,HaifaCSP,1.0,0.0
2016,free,depot_placement,rat99_5,iZplus,HaifaCSP,0.6294408281703396,0.3705591718296604
2016,free,depot_placement,rat99_6,iZplus,HaifaCSP,0.9230458173634797,0.07695418263652026
2016,free,depot_placement,st70_5,iZplus,HaifaCSP,0.0,1.0
2016,free,depot_placement,ulysses22_5,iZplus,HaifaCSP,0.0,1.0
2016,free,diameterc_mst,c_v15_a105_d7,iZplus,HaifaCSP,0.03793726688119466,0.9620627331188053
2016,free,diameterc_mst,c_v20_a190_d5,iZplus,HaifaCSP,1.0,0.0
2016,free,diameterc_mst,s_v20_a50_d4,iZplus,HaifaCSP,0.0,1.0
2016,free,diameterc_mst,s_v20_a50_d5,iZplus,HaifaCSP,0.0,1.0
2016,free,diameterc_mst,s_v40_a100_d5,iZplus,HaifaCSP,1.0,0.0
2016,free,elitserien,handball17,iZplus,HaifaCSP,0.0,1.0
2016,free,elitserien,handball20,iZplus,HaifaCSP,0.0,1.0
2016,free,elitserien,handball3,iZplus,HaifaCSP,0.0,1.0
2016,free,elitserien,handball5,iZplus,HaifaCSP,0.0,1.0
2016,free,elitserien,handball7,iZplus,HaifaCSP,0.0,1.0
2016,free,filters,ar_1_3,iZplus,HaifaCSP,0.8447058823529412,0.15529411764705883
2016,free,filters,dct_1_3,iZplus,HaifaCSP,1.0,0.0
2016,free,filters,ewf_1_2,iZplus,HaifaCSP,1.0,0.0
2016,free,filters,fir_1_3,iZplus,HaifaCSP,0.9238453979692106,0.07615460203078939
2016,free,filters,fir_1_4,iZplus,HaifaCSP,0.9164181885948565,0.0835818114051435
2016,free,gbac,UD3_gbac,iZplus,HaifaCSP,1.0,0.0
2016,free,gbac,UD5_gbac,iZplus,HaifaCSP,1.0,0.0
2016,free,gbac,reduced_UD10_gbac,iZplus,HaifaCSP,1.0,0.0
2016,free,gbac,reduced_UD3_gbac,iZplus,HaifaCSP,1.0,0.0
2016,free,gbac,reduced_UD6_gbac,iZplus,HaifaCSP,1.0,0.0
2016,free,gfd_schedule,n180f7d50m30k18,iZplus,HaifaCSP,0.0,1.0
2016,free,gfd_schedule,n25f5d20m10k3,iZplus,HaifaCSP,0.3765833618623759,0.623416638137624
2016,free,gfd_schedule,n35f5d20m10k3,iZplus,HaifaCSP,0.0,1.0
2016,free,gfd_schedule,n55f2d50m30k3,iZplus,HaifaCSP,0.0,1.0
2016,free,gfd_schedule,n60f7d50m30k10,iZplus,HaifaCSP,0.0,1.0
2016,free,java_auto_gen,binpack_11,iZplus,HaifaCSP,0.9317454674724492,0.06825453252755065
2016,free,java_auto_gen,pizza_8_3,iZplus,HaifaCSP,0.5559220263013235,0.44407797369867646
2016,free,java_auto_gen,plusexample_6,iZplus,HaifaCSP,0.00025039477563416516,0.9997496052243657
2016,free,java_auto_gen,projplan1_15_15,iZplus,HaifaCSP,0.15736766809728184,0.8426323319027181
2016,free,java_auto_gen,routing_7,iZplus,HaifaCSP,1.0,0.0
2016,free,mapping,mesh2x2_1,iZplus,HaifaCSP,0.010143796678185263,0.9898562033218148
2016,free,mapping,mesh2x2_mp3,iZplus,HaifaCSP,0.4873096446700507,0.5126903553299492
2016,free,mapping,mesh3x3_mp3,iZplus,HaifaCSP,0.010812630161768727,0.9891873698382312
2016,free,mapping,mesh4x4_1,iZplus,HaifaCSP,0.0,1.0
2016,free,mapping,ring_1,iZplus,HaifaCSP,0.0,1.0
