year,track,problem,instance,solver1,solver2,score1,score2
2015,free,project_planning,ProjectPlannertest_14_7,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,project_planning,ProjectPlannertest_15_6,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,project_planning,ProjectPlannertest_16_6,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,project_planning,ProjectPlannertest_16_8,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,radiation,i14_9,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,radiation,i6_11,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,radiation,i6_21,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,radiation,i7_9,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,radiation,i9_11,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,roster,chicroster_dataset_11,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,roster,chicroster_dataset_17,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,roster,chicroster_dataset_2,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,roster,chicroster_dataset_5,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,roster,chicroster_dataset_7,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,spot5,1401,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,spot5,28,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,spot5,414,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,spot5,503,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,spot5,54,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,tdtsp,inst_10_24_10,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,tdtsp,inst_10_34_00,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,tdtsp,inst_10_42_10,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,tdtsp,inst_20_14_10,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,tdtsp,inst_20_25_00,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,triangular,n10,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,triangular,n16,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,triangular,n22,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,triangular,n28,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,triangular,n37,OscaR_CBLS,JaCoP,1.0,0.0
2015,free,zephyrus,zephyrus_15_10,OscaR_CBLS,JaCoP,0.0,1.0
2015,free,zephyrus,zephyrus_20_20,OscaR_CBLS,JaCoP,0.0,1.0
