year,track,nSolvers,vbsSize,nVBSPortfolios,vbsPortfolios
2019,open,15,11,1,"[['sunny_cp', 'sunny_cp_less', 'picatsat', 'mzn_cplex', 'izplus', 'yuck', 'chuffed', 'oscarcbls', 'or_tools', 'gecode', 'sicstus']]"
2019,par,13,11,1,"[['or_tools', 'picatsat', 'izplus', 'mzn_cplex', 'yuck', 'choco', 'chuffed', 'gecode', 'oscarcbls', 'jacop', 'sicstus']]"
2020,fd,5,5,1,"[['chuffed', 'jacop', 'gecode', 'sicstus', 'choco']]"
2020,free,16,11,1,"[['or_tools', 'chuffed', 'gecode', 'mzn_cplex', 'mistral', 'picatsat', 'choco', 'flatzingo', 'geas', 'optimathsat_int', 'yuck']]"
2020,open,19,14,1,"[['chuffed', 'or_tools', 'jacop', 'sunny_cp_less', 'sunny_cp__closed', 'sunny_cp', 'gecode', 'mzn_cplex', 'mistral', 'picatsat', 'flatzingo', 'geas', 'optimathsat_int', 'yuck']]"
2020,par,16,9,1,"[['chuffed', 'or_tools', 'gecode', 'choco', 'mzn_cplex', 'mistral', 'picatsat', 'flatzingo', 'geas']]"
2021,fd,6,6,1,"[['or_tools_cp_sat', 'sicstus_prolog', 'jacop', 'choco_solver_4_10_7', 'gecode', 'chuffed']]"
2021,free,16,12,1,"[['gurobi', 'izplus', 'cplex', 'or_tools_cp_sat', 'picatsat', 'mistral_2_0', 'choco_solver_4_10_7', 'jacop', 'gecode', 'chuffed', 'geas', 'yuck']]"
2021,open,18,16,1,"[['gurobi', 'izplus', 'cplex', 'picatsat', 'coin_or_cbc', 'mistral_2_0', 'or_tools_cp_sat', 'sicstus_prolog', 'jacop', 'choco_solver_4_10_7', 'gecode', 'chuffed', 'geas', 'sunny_cp_eligible', 'sunny_cp_non_eligible', 'yuck']]"
2021,par,16,13,1,"[['gurobi', 'cplex', 'gecode', 'or_tools_cp_sat', 'choco_solver_4_10_7', 'izplus', 'picatsat', 'mistral_2_0', 'sicstus_prolog', 'jacop', 'chuffed', 'geas', 'yuck']]"
