year,track,problem,instance,solver1,solver2,score1,score2
2020,free,bnn_planner,cellda_y_10s,or_tools,gecode,0.7087275184530616,0.29127248154693836
2020,free,bnn_planner,inventory_4_8s,or_tools,gecode,0.4464902186421174,0.5535097813578826
2020,free,bnn_planner,navigation_5x5_10s,or_tools,gecode,1.0,0.0
2020,free,bnn_planner,sysadmin_4_2s,or_tools,gecode,0.9885879107098068,0.011412089290193127
2020,free,bnn_planner,sysadmin_5_4s,or_tools,gecode,1.0,0.0
2020,free,cable_tree_wiring,A031,or_tools,gecode,1.0,0.0
2020,free,cable_tree_wiring,A073,or_tools,gecode,1.0,0.0
2020,free,cable_tree_wiring,R046,or_tools,gecode,1.0,0.0
2020,free,cable_tree_wiring,R189,or_tools,gecode,1.0,0.0
2020,free,cable_tree_wiring,R196,or_tools,gecode,1.0,0.0
2020,free,code_generator,hexagon_gcc_dot_reload1_dot_gen_reload,or_tools,gecode,1.0,0.0
2020,free,code_generator,mips_gcc_dot_cfgbuild_dot_control_flow_insn_p,or_tools,gecode,1.0,0.0
2020,free,code_generator,mips_gcc_dot_real_dot_eiremain,or_tools,gecode,1.0,0.0
2020,free,code_generator,mips_gobmk_dot_patterns_dot_autohelperpat508,or_tools,gecode,1.0,0.0
2020,free,code_generator,mips_pgp_dot_crypto_dot_encryptfile,or_tools,gecode,1.0,0.0
2020,free,collaborative_construction,175,or_tools,gecode,1.0,0.0
2020,free,collaborative_construction,307,or_tools,gecode,1.0,0.0
2020,free,collaborative_construction,37,or_tools,gecode,1.0,0.0
2020,free,collaborative_construction,455,or_tools,gecode,1.0,0.0
2020,free,collaborative_construction,46,or_tools,gecode,0.8053156873787622,0.19468431262123773
2020,free,gbac,UD10_gbac,or_tools,gecode,1.0,0.0
2020,free,gbac,UD9_gbac,or_tools,gecode,1.0,0.0
2020,free,gbac,reduced_UD2_gbac,or_tools,gecode,1.0,0.0
2020,free,gbac,reduced_UD5_gbac,or_tools,gecode,1.0,0.0
2020,free,gbac,reduced_UD7_gbac,or_tools,gecode,1.0,0.0
2020,free,hoist_benchmark_for_minizinc,PU_1_2_2,or_tools,gecode,1.0,0.0
2020,free,hoist_benchmark_for_minizinc,PU_2_8_1,or_tools,gecode,1.0,0.0
2020,free,hoist_benchmark_for_minizinc,PU_3_2_5,or_tools,gecode,1.0,0.0
2020,free,hoist_benchmark_for_minizinc,PU_3_4_1,or_tools,gecode,1.0,0.0
2020,free,hoist_benchmark_for_minizinc,PU_3_8_5,or_tools,gecode,1.0,0.0
2020,free,is,A3PZaPjnUz,or_tools,gecode,0.9750438238482023,0.024956176151797783
2020,free,is,LeTaZW8Ij5,or_tools,gecode,1.0,0.0
2020,free,is,Ws5Q6fhGi5,or_tools,gecode,1.0,0.0
2020,free,is,YfFfEiuCQo,or_tools,gecode,1.0,0.0
2020,free,is,v1HjuSBQMb,or_tools,gecode,0.5856648852562087,0.41433511474379126
2020,free,lot_sizing,pigment15b_dot_psp,or_tools,gecode,0.3398070066562017,0.6601929933437982
2020,free,lot_sizing,pigment15c_dot_psp,or_tools,gecode,0.9584354127321026,0.041564587267897274
2020,free,lot_sizing,pigment20b_dot_psp,or_tools,gecode,1.0,0.0
2020,free,lot_sizing,pigment30a_dot_psp,or_tools,gecode,1.0,0.0
2020,free,lot_sizing,pigment30c_dot_psp,or_tools,gecode,1.0,0.0
2020,free,minimal_decision_sets,australian_train5,or_tools,gecode,0.9473520809163548,0.052647919083645155
2020,free,minimal_decision_sets,backache_train4,or_tools,gecode,1.0,0.0
2020,free,minimal_decision_sets,breast_cancer_train4,or_tools,gecode,0.8414718494950892,0.15852815050491076
2020,free,minimal_decision_sets,cleve_train5,or_tools,gecode,0.9336446687736843,0.0663553312263157
2020,free,minimal_decision_sets,colic_train4,or_tools,gecode,0.9762544993451795,0.023745500654820464
2020,free,p1f_pjs,10,or_tools,gecode,0.2782196390333435,0.7217803609666565
2020,free,p1f_pjs,17,or_tools,gecode,0.8264904651961147,0.17350953480388526
2020,free,p1f_pjs,21,or_tools,gecode,1.0,0.0
2020,free,pentominoes,02,or_tools,gecode,0.014389219934994582,0.9856107800650054
2020,free,pentominoes,04,or_tools,gecode,0.0,1.0
2020,free,pentominoes,05,or_tools,gecode,0.0,1.0
2020,free,pentominoes,06,or_tools,gecode,0.0,1.0
2020,free,pentominoes,07,or_tools,gecode,0.0,1.0
2020,free,pillars_and_planks,p_d10,or_tools,gecode,1.0,0.0
2020,free,pillars_and_planks,p_d12,or_tools,gecode,1.0,0.0
