year,track,problem,instance,solver1,solver2,score1,score2
2019,free,accap,accap_instance3,or_tools,gecode,1.0,0.0
2019,free,accap,accap_instance5,or_tools,gecode,1.0,0.0
2019,free,accap,accap_instance6,or_tools,gecode,1.0,0.0
2019,free,accap,accap_instance8,or_tools,gecode,1.0,0.0
2019,free,accap,accap_instance9,or_tools,gecode,0.0,1.0
2019,free,amaze3,2012_03_19,or_tools,gecode,0.996125920581372,0.0038740794186280813
2019,free,amaze3,2012_03_29,or_tools,gecode,0.8817547937245788,0.11824520627542125
2019,free,amaze3,2012_07_13,or_tools,gecode,0.9444924915480777,0.05550750845192232
2019,free,amaze3,2012_07_27,or_tools,gecode,0.9688551025109422,0.031144897489057827
2019,free,amaze3,mod2012_03_29,or_tools,gecode,0.9715870653497498,0.028412934650250306
2019,free,code_generator,gcc_dot_cfgrtl_dot_update_br_prob_note,or_tools,gecode,0.0,1.0
2019,free,code_generator,gcc_dot_function_dot_use_return_register,or_tools,gecode,0.0,1.0
2019,free,code_generator,gobmk_dot_helpers_dot_dragon_weak,or_tools,gecode,0.0,1.0
2019,free,code_generator,gobmk_dot_patterns_dot_autohelperpat1114,or_tools,gecode,0.0,1.0
2019,free,fox_geese_corn,fgc_06_07_08_00,or_tools,gecode,1.0,0.0
2019,free,fox_geese_corn,fgc_50_50_50_00,or_tools,gecode,1.0,0.0
2019,free,fox_geese_corn,foxgeesecorn_13,or_tools,gecode,1.0,0.0
2019,free,fox_geese_corn,foxgeesecorn_54,or_tools,gecode,0.871181760010777,0.12881823998922307
2019,free,fox_geese_corn,foxgeesecorn_60,or_tools,gecode,1.0,0.0
2019,free,groupsplitter,u12g2pref1,or_tools,gecode,1.0,0.0
2019,free,groupsplitter,u15g5pref0,or_tools,gecode,1.0,0.0
2019,free,groupsplitter,u6g1pref1,or_tools,gecode,0.24005974607916353,0.7599402539208364
2019,free,groupsplitter,u7g2pref1,or_tools,gecode,1.0,0.0
2019,free,groupsplitter,u9g1pref1,or_tools,gecode,0.41134384648093025,0.5886561535190697
2019,free,hrc,exp1_1_5110,or_tools,gecode,1.0,0.0
2019,free,hrc,exp1_1_5425,or_tools,gecode,0.9987843938091144,0.0012156061908856406
2019,free,hrc,exp1_1_5460,or_tools,gecode,0.9940531851824688,0.005946814817531185
2019,free,hrc,exp2_1_5145,or_tools,gecode,1.0,0.0
2019,free,hrc,exp2_1_5600,or_tools,gecode,1.0,0.0
2019,free,kidney_exchange,3_20_0_dot_25_2,or_tools,gecode,0.0,1.0
2019,free,kidney_exchange,3_20_0_dot_25_5,or_tools,gecode,0.0,1.0
2019,free,kidney_exchange,3_20_0_dot_30_5,or_tools,gecode,0.0,1.0
2019,free,kidney_exchange,3_20_0_dot_40_3,or_tools,gecode,0.0,1.0
2019,free,kidney_exchange,3_25_0_dot_20_3,or_tools,gecode,0.0,1.0
2019,free,liner_sf_repositioning,fm3_0,or_tools,gecode,0.12963151207115628,0.8703684879288437
2019,free,liner_sf_repositioning,fm3_3,or_tools,gecode,0.0605611651813188,0.9394388348186811
2019,free,liner_sf_repositioning,tp7_12,or_tools,gecode,1.0,0.0
2019,free,liner_sf_repositioning,tp7_2,or_tools,gecode,1.0,0.0
2019,free,liner_sf_repositioning,tp7_4,or_tools,gecode,0.10320034692107546,0.8967996530789245
2019,free,lot_sizing,pigment15a_dot_psp,or_tools,gecode,0.0,1.0
2019,free,lot_sizing,pigment15d_dot_psp,or_tools,gecode,0.0,1.0
2019,free,lot_sizing,pigment20a_dot_psp,or_tools,gecode,0.0,1.0
2019,free,lot_sizing,pigment20c_dot_psp,or_tools,gecode,0.0,1.0
2019,free,lot_sizing,pigment30b_dot_psp,or_tools,gecode,0.0,1.0
2019,free,median_string,p1_15_20_1,or_tools,gecode,1.0,0.0
2019,free,median_string,p2_10_8_0,or_tools,gecode,0.49803018532904236,0.5019698146709578
