year,track,problem,instance,solver1,solver2,score1,score2
2013,free,black_hole,12,chuffed,opturion_cpx,0.9968159991738809,0.003184000826119133
2013,free,black_hole,16,chuffed,opturion_cpx,0.9961913467397927,0.003808653260207191
2013,free,black_hole,18,chuffed,opturion_cpx,0.9987981865048777,0.0012018134951222949
2013,free,black_hole,4,chuffed,opturion_cpx,1.0,0.0
2013,free,black_hole,6,chuffed,opturion_cpx,0.609375,0.390625
2013,free,cargo,challenge04_1s_626,chuffed,opturion_cpx,0.0,1.0
2013,free,cargo,challenge05_1s_954,chuffed,opturion_cpx,0.0,1.0
2013,free,cargo,challenge07_1s_133,chuffed,opturion_cpx,0.0,1.0
2013,free,cargo,challenge08_222f_3475,chuffed,opturion_cpx,0.0,1.0
2013,free,cargo,challenge10_15966f_2060,chuffed,opturion_cpx,0.0,1.0
2013,free,celar,CELAR6_SUB2,chuffed,opturion_cpx,0.0,1.0
2013,free,celar,CELAR6_SUB3,chuffed,opturion_cpx,0.0,1.0
2013,free,celar,CELAR7_SUB3,chuffed,opturion_cpx,0.0,1.0
2013,free,celar,graph11,chuffed,opturion_cpx,0.0,1.0
2013,free,celar,scen06,chuffed,opturion_cpx,0.0,1.0
2013,free,filters,ar_2_3,chuffed,opturion_cpx,0.8942528735632185,0.10574712643678161
2013,free,filters,dct_2_2,chuffed,opturion_cpx,0.5,0.5
2013,free,filters,dfq_1_1,chuffed,opturion_cpx,0.8988764044943821,0.10112359550561797
2013,free,filters,ewf_2_1,chuffed,opturion_cpx,0.9718969555035128,0.028103044496487116
2013,free,filters,fir_2_3,chuffed,opturion_cpx,0.9528455284552845,0.04715447154471545
2013,free,fjsp,easy01,chuffed,opturion_cpx,0.0,1.0
2013,free,fjsp,easy02,chuffed,opturion_cpx,0.0,1.0
2013,free,fjsp,hard19,chuffed,opturion_cpx,0.0,1.0
2013,free,fjsp,med04,chuffed,opturion_cpx,0.0,1.0
2013,free,fjsp,med10,chuffed,opturion_cpx,0.0,1.0
2013,free,ghoulomb,3_9_16,chuffed,opturion_cpx,0.0,1.0
2013,free,ghoulomb,4_9_10,chuffed,opturion_cpx,0.0,1.0
2013,free,ghoulomb,4_9_20,chuffed,opturion_cpx,0.0,1.0
2013,free,javarouting,trip_6_3,chuffed,opturion_cpx,1.0,0.0
2013,free,javarouting,trip_7_1,chuffed,opturion_cpx,1.0,0.0
2013,free,javarouting,trip_7_2,chuffed,opturion_cpx,1.0,0.0
2013,free,javarouting,trip_8_1,chuffed,opturion_cpx,1.0,0.0
2013,free,javarouting,trip_8_5,chuffed,opturion_cpx,1.0,0.0
2013,free,l2p,l2p1,chuffed,opturion_cpx,0.8798283261802575,0.12017167381974249
2013,free,l2p,l2p12,chuffed,opturion_cpx,0.9600289383251944,0.039971061674805575
2013,free,l2p,l2p13,chuffed,opturion_cpx,0.9650336091003102,0.03496639089968977
2013,free,l2p,l2p16,chuffed,opturion_cpx,0.5888130968622101,0.4111869031377899
2013,free,l2p,l2p2,chuffed,opturion_cpx,0.4973400964988247,0.5026599035011754
2013,free,league,model15_4_3,chuffed,opturion_cpx,0.7282608695652174,0.2717391304347826
2013,free,league,model20_5_4,chuffed,opturion_cpx,0.7519607843137255,0.24803921568627452
2013,free,league,model30_8_4,chuffed,opturion_cpx,0.6135831381733021,0.38641686182669793
2013,free,league,model40_5_11,chuffed,opturion_cpx,0.5,0.5
